operator,origin_airport,destination_airport,airline,flight_number,aircraft_type,origin_time,origin_day_difference,destination_time,destination_day_difference,calendar,is_valid_from,is_valid_to,note_ja,date
,RNJ,OKA,RAC,RAC816,,14:20,,15:00,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,RNJ,RAC,RAC817,,15:00,,15:40,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月15～17日・8月5～15日運航,2022-05-28
,RNJ,OKA,RAC,RAC818,,16:10,,16:50,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月15～17日・8月5～15日運航,2022-05-28
,OKA,KTD,RAC,RAC847,,13:15,,14:15,,日月　　　金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,OKA,KTD,RAC,RAC847,,13:10,,14:15,,日月　　　金土,2022-06-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,KTD,OKA,RAC,RAC848,,15:35,,16:40,,　　火水木　　,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,MMD,RAC,RAC861,,08:00,,09:00,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,OKA,MMD,RAC,RAC867,,13:15,,14;15,,　　火水木　　,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,MMD,OKA,RAC,RAC862,,09:30,,10:40,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,MMD,OKA,RAC,RAC868,,15:35,,16:40,,日月　　　金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,OKA,MMD,RAC,RAC861,,07:55,,08:55,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,MMD,RAC,RAC867,,13:10,,14;15,,　　火水木　　,2022-06-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,MMD,OKA,RAC,RAC862,,09:25,,10:30,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,MMD,OKA,RAC,RAC868,,15:35,,16:40,,日月　　　金土,2022-06-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,KTD,MMD,RAC,RAC736,,14:45,,15:05,,日月　　　金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,MMD,KTD,RAC,RAC735,,14:45,,15:05,,　　火水木　　,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,UEO,RAC,RAC871,,07:45,,08:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,UEO,RAC,RAC873,,09:50,,10:25,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,UEO,RAC,RAC875,,11:10,,11:45,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,OKA,UEO,RAC,RAC879,,15:45,,16:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,UEO,RAC,RAC881,,17:25,,18:00,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,UEO,RAC,RAC883,,18:10,,18:45,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,UEO,RAC,RAC875,,11:05,,11:40,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,UEO,OKA,RAC,RAC872,,08:45,,09:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,UEO,OKA,RAC,RAC874,,10:50,,11:30,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,UEO,OKA,RAC,RAC876,,12:10,,12:45,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,UEO,OKA,RAC,RAC880,,16:45,,17:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,UEO,OKA,RAC,RAC882,,18:25,,19:00,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,UEO,OKA,RAC,RAC884,,19:10,,19:45,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,UEO,OKA,RAC,RAC876,,12:05,,12:40,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,MMY,RAC,RAC801,,08:00,,08:55,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,OKA,MMY,RAC,RAC801,,08:00,,08:50,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,MMY,OKA,RAC,RAC804,,20:05,,20:55,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,MMY,OKA,RAC,RAC804,,20:05,,21:00,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,OKA,ISG,RAC,RAC705,,16:00,,17:10,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,5月1～31日5分早着,2022-05-28
,OKA,ISG,RAC,RAC705,,16:00,,17:05,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-07-14T23:59:59+09:00,,2022-05-28
,ISG,OKA,RAC,RAC708,,19:55,,20:55,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,ISG,OKA,RAC,RAC708,,19:55,,21:00,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,OKA,OGN,RAC,RAC721,,07:15,,08:35,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,OKA,OGN,RAC,RAC721,,07:15,,08:30,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OKA,OGN,RAC,RAC725,,12:25,,13:40,,日月火水木金土,2022-07-15T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OGN,OKA,RAC,RAC724,,11:25,,12:40,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,OGN,OKA,RAC,RAC724,,11:20,,12:40,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,OGN,OKA,RAC,RAC724,,11:15,,12:35,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,MMY,TRA,RAC,RAC891,,09:25,,09:50,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,MMY,TRA,RAC,RAC897,,15:40,,16:05,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,TRA,MMY,RAC,RAC892,,10:25,,10:50,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,TRA,MMY,RAC,RAC898,,16:40,,17:05,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,MMY,TRA,RAC,RAC891,,09:20,,09:45,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,TRA,MMY,RAC,RAC892,,10:20,,10:45,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,MMY,TRA,RAC,RAC891,,09:25,,09:50,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,MMY,TRA,RAC,RAC897,,15:45,,16:10,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,TRA,MMY,RAC,RAC892,,10:25,,10:50,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,TRA,MMY,RAC,RAC898,,16:45,,17:10,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,MMY,ISG,RAC,RAC831,,11:35,,12:05,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,MMY,ISG,RAC,RAC839,,17:35,,18:05,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,ISG,MMY,RAC,RAC834,,14:40,,15:10,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,ISG,MMY,RAC,RAC838,,19:00,,19:30,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,MMY,ISG,RAC,RAC831,,11:40,,12:10,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,MMY,ISG,RAC,RAC833,,13:40,,14:10,,日月火水木金土,2022-07-15T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,MMY,ISG,RAC,RAC837,,16:35,,17:05,,日月火水木金土,2022-07-15T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,MMY,ISG,RAC,RAC839,,17:40,,18:10,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,ISG,MMY,RAC,RAC832,,12:40,,13:10,,日月火水木金土,2022-07-15T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,ISG,MMY,RAC,RAC834,,14:45,,15:15,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,ISG,MMY,RAC,RAC836,,15:35,,16:05,,日月火水木金土,2022-07-15T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,ISG,MMY,RAC,RAC838,,19:00,,19:30,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,ISG,OGN,RAC,RAC741,,10:10,,10:40,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,ISG,OGN,RAC,RAC743,,12:35,,13:05,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,ISG,OGN,RAC,RAC747,,17:50,,18:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,OGN,ISG,RAC,RAC742,,09:10,,09:40,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-05-31T23:59:59+09:00,,2022-05-28
,OGN,ISG,RAC,RAC744,,13:35,,14:05,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,OGN,ISG,RAC,RAC748,,18:50,,19:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,ISG,OGN,RAC,RAC741,,10:05,,10:35,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,OGN,ISG,RAC,RAC742,,09:05,,09:35,,日月火水木金土,2022-06-01T00:00:00+09:00,2022-06-30T23:59:59+09:00,,2022-05-28
,ISG,OGN,RAC,RAC741,,10:00,,10:30,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,ISG,OGN,RAC,RAC743,,12:35,,13:05,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-07-14T23:59:59+09:00,,2022-05-28
,ISG,OGN,RAC,RAC747,,17:50,,18:20,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,OGN,ISG,RAC,RAC742,,09:00,,09:30,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,,2022-05-28
,OGN,ISG,RAC,RAC744,,14:15,,14:45,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日40分早発,2022-05-28
,OGN,ISG,RAC,RAC748,,18:50,,19:20,,日月火水木金土,2022-07-01T00:00:00+09:00,2022-08-31T23:59:59+09:00,7月1～14日5分早発,2022-05-28
,HND,CTS,SKY,703,,06:45,,08:20,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,CTS,SKY,705,,08:20,,09:55,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,CTS,SKY,711,,11:00,,12:35,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
,HND,CTS,SKY,713,,12:20,,14:00,,日月火水木金土,2022-03-27T00:00:00+09:00,2022-10-29T23:59:59+09:00,,2022-05-28
