"operator","origin_airport","destination_airport","airline","flight_number","aircraft_type","origin_time","origin_day_difference","destination_time","destination_day_difference","calendar","is_valid_from","is_valid_to","note_ja","date"
"ANA","HND","CTS","ADO","HD039/NH4739","73D","21:00",,"22:35",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ADO","HD043/NH4743","73D","21:30",,"23:05",,"日月　　木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ADO","HD043/NH4743","73D","21:30",,"23:05",,"　　火水　　　","2022-09-18T00:00:00+09:00","2022-09-24T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","CTS","ADO","HD043/NH4743","73D","21:30",,"23:05",,"　　火水　　　","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","DEL","ANA","NH837","789","09:40","0","15:55","0","日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FRA","ANA","NH203/LH4921","789","21:25","0","05:55","1","日月火水木金土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FRA","ANA","NH203/LH4921","789","21:30","0","05:55","1","日月火水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FRA","ANA","NH223/LH4919","789","09:35","0","18:05","0","　月　　　金土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FRA","ANA","NH223/LH4919","789","09:40","0","18:05","0","日月　　　金　","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","FUK","JAL","JL303",,"06:25",,"08:10",,"日月火水木金土","2022-07-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"JAL","HND","FUK","JAL","JL303",,"06:25",,"08:15",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","HND","FUK","ANA","NH239","738/321","06:25",,"08:15",,"　　　水　　　","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH239","321","06:25",,"08:15",,"　月火　木　土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH239/GA9336","321","06:25",,"08:15",,"日　　　　金　","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","FUK","JAL","JL303",,"06:25",,"08:15",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-06-30T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","HND","FUK","ANA","NH239/GA9336","73H","06:25",,"08:20",,"日　　　　金　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH239","73H","06:25",,"08:20",,"　月　水木　土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH239","73H/321","06:25",,"08:20",,"　　火　　　　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","SFJ","7G041/NH3841","32F","06:40",,"08:35",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1075","788","06:55",,"08:45",,"　　火　　　　","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1075","788/321","06:55",,"08:45",,"日月　水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1075","788/73H/321","06:55",,"08:50",,"　　　　　　土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1075","788/321","06:55",,"08:50",,"　　　　　金　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1075","73H/321","06:55",,"08:50",,"日月　　　　　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH1075","321","06:55",,"08:50",,"　　火水木　　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","FUK","JAL","JL305",,"07:10",,"09:00",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-10-29T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
"ANA","HND","FUK","ANA","NH241","772","07:25",,"09:15",,"日月火水木金土","2022-08-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH241","772","07:25",,"09:20",,"　　火　　　　","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"ANA","HND","FUK","ANA","NH241","788/772","07:25",,"09:20",,"日月　水木金土","2022-09-01T00:00:00+09:00","2022-09-30T23:59:59+09:00",,"2022-08-22T12:00:00+09:00"
"JAL","HND","FUK","JAL","JL307","359","08:00",,"09:50",,"日月火水木金土","2022-09-01T00:00:00+09:00","2022-10-29T23:59:59+09:00","10/1-29・5分遅着・772J運航","2022-08-04T13:00:00+09:00"
"JAL","HND","FUK","JAL","JL307",,"08:00",,"09:50",,"日月火水木金土","2022-06-01T00:00:00+09:00","2022-08-31T23:59:59+09:00",,"2022-08-04T13:00:00+09:00"
